predicate_raw,memories,relation_type,arity,similarity
assistant_recommendation,4191,recommended,speech,0.762
none,3459,other,unkeyed,0.000
travel_plans,197,planned_event,event,0.484
book_recommendations,96,recommended,speech,0.463
purchases,85,acquired,set,0.458
book_recommendation,84,recommended,speech,0.439
hobbies,80,practises_hobby,set,0.669
travel_history,79,event_occurred,event,0.602
events_attended,74,attended,set,0.756
books_read,64,read,set,0.745
recipe_recommendation,56,recommended,speech,0.491
restaurant_recommendation,50,recommended,speech,0.465
workshops_attended,49,attended,set,0.535
clothing_owned,48,owns,set,0.642
event_planning,46,planned_event,event,0.680
party_recommendation,41,recommended,speech,0.335
houseplants,39,grows,set,0.590
planned_events,36,planned_event,event,0.805
home_city,35,lives_in,single,0.572
collectibles,35,owns,set,0.412
possessions,34,owns,set,0.701
pet_supplies,34,owns_pet,single,0.569
spending,32,financial_activity,set,0.668
exercise_routine,32,routine,single,0.614
wake_up_time,30,routine,single,0.449
shopping_list,30,other,unknown,0.282
education,30,studies,single,0.466
musical_instruments,29,other,unknown,0.254
past_events,28,event_occurred,event,0.776
snack_recommendation,26,recommended,speech,0.355
planned_activities,26,planned_event,event,0.597
cooking_plans,25,planned_event,event,0.564
pets,23,owns_pet,single,0.643
clothing_purchases,23,acquired,set,0.399
past_trips,22,visited,set,0.562
reading_list,21,read,set,0.539
charity_events,21,attended,set,0.394
camera_gear,21,owns,set,0.362
recipe_recommendations,20,recommended,speech,0.487
plant_care_advice,20,recommended,speech,0.532
hotel_recommendation,20,recommended,speech,0.364
books_reading,20,read,set,0.736
recipe,19,cooked,set,0.584
purchased_items,19,acquired,set,0.526
morning_routine,19,routine,single,0.779
media_watched,19,watched,set,0.590
event_attendance,19,attended,set,0.678
job_title,18,works_as,single,0.714
hiking_recommendation,18,recommended,speech,0.315
gift_subscription_option,18,other,unknown,0.296
footwear,18,other,unknown,0.185
fitness_tracker,18,other,unknown,0.237
family_events,18,event_occurred,event,0.503
dinner_party_menu,18,ate_at,set,0.388
social_events,17,event_occurred,event,0.564
past_activities,17,event_occurred,event,0.511
paint_recommendation,17,recommended,speech,0.273
social_connections,16,knows_person,set,0.441
planned_trips,16,visited,set,0.506
past_travel,16,visited,set,0.597
interests,16,financial_activity,set,0.398
furniture,16,other,unknown,0.267
fitness_routine,16,routine,single,0.532
documentary_recommendations,16,recommended,speech,0.455
tokyo_recommendations,15,recommended,speech,0.329
museum_visits,15,visited,set,0.519
family_member,15,knows_person,set,0.497
concerts_attended,15,attended,set,0.606
car_maintenance,15,other,unknown,0.301
music_recommendations,14,recommended,speech,0.482
home_decor,14,grows,set,0.366
social_media_activity,13,listened_to,set,0.364
religious_attendance,13,attended,set,0.455
movies_watched,13,watched,set,0.735
medical_history,13,event_occurred,event,0.364
home_maintenance,13,other,unknown,0.298
gifts_purchased,13,acquired,set,0.478
event_plans,13,planned_event,event,0.770
coupons,13,other,unknown,0.172
breakfast_recommendation,13,recommended,speech,0.339
assistant_documentation,13,explained,speech,0.590
writing_project,12,completed,set,0.353
volunteering,12,practises_hobby,set,0.408
upcoming_events,12,planned_event,event,0.707
podcast_recommendations,12,recommended,speech,0.537
party_planning_advice,12,recommended,speech,0.346
name_etymology,12,other,unknown,0.215
media_consumption,12,listened_to,set,0.431
jewelry_owned,12,owns,set,0.489
games_played,12,other,unknown,0.303
dietary_preference,12,dietary_rule,single,0.560
credit_advice,12,recommended,speech,0.305
cooking_skills,12,cooked,set,0.619
cleaning_routine,12,routine,single,0.385
car,12,drives,single,0.501
bedtime,12,routine,single,0.388
work_experience,11,works_at,single,0.462
volunteer_work,11,practises_hobby,set,0.405
shopping_plans,11,planned_event,event,0.347
hiking_recommendations,11,recommended,speech,0.313
gift_purchases,11,acquired,set,0.433
fitness_goals,11,current_goal,single,0.549
employment_status,11,works_at,single,0.440
color_definitions,11,other,unknown,0.157
acquaintances,11,knows_person,set,0.670
zumba_music_recommendations,10,recommended,speech,0.322
workout_recommendation,10,recommended,speech,0.293
vinyl_collection,10,owns,set,0.355
tv_show_recommendations,10,recommended,speech,0.474
trips,10,visited,set,0.543
travel_recommendation,10,recommended,speech,0.541
song_recommendations,10,recommended,speech,0.394
social_plans,10,planned_event,event,0.462
social_media_usage,10,other,unknown,0.308
restaurant_recommendations,10,recommended,speech,0.464
research_interests,10,studies,single,0.481
recipe_collection,10,owns,set,0.496
podcasts_listened,10,listened_to,set,0.689
model_kit_recommendation,10,recommended,speech,0.302
learning_goals,10,current_goal,single,0.621
kyoto_recommendations,10,recommended,speech,0.266
design_team_leadership,10,team_size,single,0.487
cooking_classes,10,cooked,set,0.522
concert_attendance,10,attended,set,0.465
charity_participation,10,other,unknown,0.322
charity_donations,10,other,unknown,0.291
charitable_donations,10,other,unknown,0.289
bike_maintenance,10,other,unknown,0.297
assistant_recommendations,10,recommended,speech,0.789
ar_company_website,10,other,unknown,0.284
age,10,other,unknown,0.210
writing_projects,9,completed,set,0.355
travel_itinerary,9,visited,set,0.542
trail_recommendations,9,recommended,speech,0.343
task,9,completed,set,0.434
social_contacts,9,knows_person,set,0.472
professional_development,9,studies,single,0.356
planned_purchases,9,acquired,set,0.411
people_met,9,knows_person,set,0.412
gifts_given,9,other,unknown,0.301
gift_ideas,9,other,unknown,0.270
family_members,9,knows_person,set,0.457
current_projects,9,current_goal,single,0.438
cat_exercise_recommendation,9,recommended,speech,0.282
camera_equipment,9,owns,set,0.335
user_name,8,other,unknown,0.231
travel_recommendations,8,recommended,speech,0.533
theater_attendance,8,attended,set,0.470
spending_history,8,event_occurred,event,0.600
professional_network,8,other,unknown,0.306
professional_experience,8,other,unknown,0.344
power_bank_recommendation,8,recommended,speech,0.320
plant_fertilizer,8,grows,set,0.429
pantry_inventory,8,other,unknown,0.344
mexican_festival,8,other,unknown,0.282
media_consumed,8,listened_to,set,0.428
meal_prep_recommendation,8,recommended,speech,0.449
language_learning,8,other,unknown,0.280
jewelry,8,other,unknown,0.303
hiking_trail_recommendation,8,recommended,speech,0.302
hiking_plans,8,planned_event,event,0.278
guitar_lesson_recommendations,8,recommended,speech,0.236
gift_plans,8,planned_event,event,0.330
gardening,8,grows,set,0.686
garden_plants,8,grows,set,0.665
furniture_owned,8,owns,set,0.489
fitness_classes,8,other,unknown,0.338
daily_routine,8,routine,single,0.749
commute_duration,8,other,unknown,0.254
books_owned,8,owns,set,0.553
bird_sightings,8,other,unknown,0.322
astrology_reading,8,read,set,0.441
assistant_cocktail_recommendation,8,recommended,speech,0.511
assistant_book_recommendation,8,recommended,speech,0.616
accommodation,8,lives_in,single,0.421
yoga_schedule,7,routine,single,0.474
workshop_attendance,7,attended,set,0.642
weekly_schedule,7,routine,single,0.397
volunteering_history,7,event_occurred,event,0.332
upcoming_trips,7,visited,set,0.457
teaching_recommendation,7,recommended,speech,0.520
subscriptions,7,used_service,set,0.520
storage_bin_recommendation,7,recommended,speech,0.229
social_media_strategy,7,other,unknown,0.294
social_media_metrics,7,other,unknown,0.317
social_media_growth,7,other,unknown,0.287
social_connection,7,knows_person,set,0.418
skincare_routine,7,routine,single,0.314
skincare_products,7,other,unknown,0.275
skin_type,7,other,unknown,0.245
shows_watched,7,watched,set,0.763
shopping_transaction,7,acquired,set,0.408
research_topic,7,studies,single,0.396
